panel,rung,arm,tidy_arm,topic,statistic,value_ms,sd_ms,n,capsules,note
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,colmath,"topic-block mean, mean over reps",49.184,0.113,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,elecEng,"topic-block mean, mean over reps",51.196,0.430,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,hsPsych,"topic-block mean, mean over reps",52.214,0.776,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,hsWorldHist,"topic-block mean, mean over reps",51.405,0.546,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,lcb,"topic-block mean, mean over reps",55.316,1.240,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,philosophy,"topic-block mean, mean over reps",51.326,0.378,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,proLaw,"topic-block mean, mean over reps",57.932,0.328,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,ALL,"whole-schedule mean, mean over reps",51.925,0.108,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,ALL,"whole-schedule median, mean over reps",51.346,0.552,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,clinical,"topic-block mean, mean over reps",49.394,0.196,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,colmath,"topic-block mean, mean over reps",48.618,0.458,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,elecEng,"topic-block mean, mean over reps",50.485,0.177,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,hsPsych,"topic-block mean, mean over reps",51.884,0.482,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,hsWorldHist,"topic-block mean, mean over reps",51.457,0.189,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,lcb,"topic-block mean, mean over reps",55.257,2.085,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,philosophy,"topic-block mean, mean over reps",50.723,0.776,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 ovl,"1+2 + one-round swap, overlapped",1+2 one-round swap OVL,proLaw,"topic-block mean, mean over reps",57.582,0.779,3,6d895fb0+8a8d3bd7+b88243db,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,ALL,"whole-schedule mean, mean over reps",56.444,0.268,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,ALL,"whole-schedule median, mean over reps",54.619,0.427,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,hsPsych,"topic-block mean, mean over reps",56.122,0.809,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,hsWorldHist,"topic-block mean, mean over reps",52.771,0.051,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,philosophy,"topic-block mean, mean over reps",52.546,0.612,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),COMET,COMET,COMET,proLaw,"topic-block mean, mean over reps",64.337,0.651,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,ALL,"whole-schedule mean, mean over reps",53.917,0.128,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,ALL,"whole-schedule median, mean over reps",53.719,0.160,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,hsPsych,"topic-block mean, mean over reps",53.661,0.190,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,hsWorldHist,"topic-block mean, mean over reps",52.254,0.124,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,philosophy,"topic-block mean, mean over reps",51.775,0.956,3,30bf8f78+7c25c4c7+d16e05aa,
reference: S-B dwell 4 (rejected: placement arms sink to COMET),1,1: token-comm overlap,1 token-comm overlap,proLaw,"topic-block mean, mean over reps",57.978,0.307,3,30bf8f78+7c25c4c7+d16e05aa,
